"","Not at all","Somewhat","To a great extent","Very little"
"",3.27,33.18,53.27,7.48
"Government scientist (applied)",0,0.47,0,0
"Lecturer/teacher at a university of applied sciences.",0,0,0,0.47
"Project Scientist",0,0.47,0,0
"Researcher (policy)",0,0.47,0,0
"Senior Consultant and external lecturer",0,0,0.47,0
"Senior Research Fellow",0,0,0.47,0
