"","Not at all","Somewhat","To a great extent","Very little"
"",2.8,19.16,26.17,5.61
"Did not attempt",0,1.87,1.4,0.93
"No",0.47,4.21,5.61,0
"Yes, all",0,2.8,5.61,0.93
"Yes, some",0,6.54,15.42,0.47
