"","Not at all","Somewhat","To a great extent","Very little"
"",42.86,9.46,5.17,29.41
"Always",14.29,10.81,22.41,0
"Most of the time",14.29,21.62,28.45,17.65
"Never",0,5.41,2.59,11.76
"Rarely",14.29,20.27,11.21,11.76
"Some of the time",14.29,32.43,30.17,29.41
