"","Not at all","Somewhat","To a great extent","Very little"
"",0,1.4,1.4,0
"Agree",0.47,17.76,25.23,2.8
"Disagree",0.93,8.41,6.07,3.27
"Strongly agree",0.47,4.67,14.95,1.4
"Strongly disagree",1.4,2.34,6.54,0.47
