"","Not at all","Somewhat","To a great extent","Very little"
"",2.34,13.55,15.42,6.54
"Always",0.47,0.93,4.67,0
"Most of the time",0,0.93,7.48,0
"Never",0.47,7.94,12.15,0.47
"Rarely",0,6.54,5.61,0.47
"Some of the time",0,4.67,8.88,0.47
