"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,6.76,6.9,5.88
"Frequently",14.29,17.57,30.17,23.53
"Never",42.86,5.41,4.31,11.76
"Occasionally",0,31.08,37.93,35.29
"Rarely",28.57,39.19,20.69,23.53
