"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,0,0,17.65
"Always",0,9.46,22.41,5.88
"Most of the time",0,21.62,35.34,29.41
"Never",42.86,8.11,9.48,17.65
"Rarely",28.57,28.38,11.21,23.53
"Some of the time",14.29,32.43,21.55,5.88
