"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,4.31,0
"Not important",42.86,12.16,4.31,0
"Somewhat important",42.86,32.43,33.62,35.29
"Somewhat not important",0,13.51,8.62,29.41
"Very important",0,39.19,49.14,35.29
