"","Not at all","Somewhat","To a great extent","Very little"
"",28.57,6.76,5.17,0
"Agree",0,25.68,24.14,29.41
"Disagree",42.86,48.65,50.86,47.06
"Strongly agree",0,2.7,1.72,5.88
"Strongly disagree",28.57,16.22,18.1,17.65
