"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,2.34,2.34,0.47
"Frequently",0.93,13.08,25.23,2.8
"Never",0.93,1.4,1.4,0.93
"Occasionally",0.47,10.28,17.76,2.34
"Rarely",0.47,7.48,7.48,1.4
