"","Not at all","Somewhat","To a great extent","Very little"
"Not at all",57.14,28.38,11.21,64.71
"Somewhat",0,29.73,36.21,23.53
"To a great extent",0,18.92,39.66,0
"Very little",42.86,22.97,12.93,11.76
