"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,5.17,0
"Not important",42.86,12.16,7.76,0
"Somewhat important",0,36.49,34.48,47.06
"Somewhat not important",14.29,17.57,23.28,29.41
"Very important",28.57,31.08,29.31,23.53
