"","Not at all","Somewhat","To a great extent","Very little"
"",57.14,8.11,9.48,35.29
"Always",0,20.27,19.83,11.76
"Most of the time",14.29,13.51,24.14,11.76
"Never",0,22.97,12.93,17.65
"Rarely",14.29,21.62,13.79,11.76
"Some of the time",14.29,13.51,19.83,11.76
