"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,1.35,2.59,0
"Asian",28.57,22.97,13.79,17.65
"Black or African American",0,1.35,0.86,5.88
"Hispanic",0,4.05,1.72,11.76
"Hispanic,Other",0,0,0.86,0
"Hispanic,White",0,0,1.72,0
"Other",0,8.11,4.31,5.88
"Other,Prefer not to say",0,0,0.86,0
"Prefer not to say",0,4.05,3.45,0
"White",57.14,56.76,68.97,58.82
"White,Other",0,1.35,0.86,0
