"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,3.45,0
"Frequently",14.29,20.27,37.93,35.29
"Never",0,4.05,5.17,0
"Occasionally",57.14,45.95,40.52,29.41
"Rarely",14.29,27.03,12.93,35.29
