"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,5.61,5.61,0
"Agree",0.47,10.75,18.22,4.67
"Disagree",0.93,12.62,20.56,2.8
"Strongly agree",0.47,3.27,5.14,0
"Strongly disagree",0.93,2.34,4.67,0.47
