"","Not at all","Somewhat","To a great extent","Very little"
"",1.87,10.28,6.07,5.14
"Always",0,1.87,4.67,0
"Most of the time",0,0.93,10.75,0.47
"Never",0.47,3.27,9.35,1.4
"Rarely",0.93,8.41,9.81,0.93
"Some of the time",0,9.81,13.55,0
