"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,5.41,6.9,11.76
"Frequently",0,17.57,25.86,11.76
"Never",28.57,1.35,4.31,5.88
"Occasionally",28.57,47.3,40.52,41.18
"Rarely",28.57,28.38,22.41,29.41
