"","Not at all","Somewhat","To a great extent","Very little"
"",2.8,19.16,26.17,5.61
"Did not attempt",0,0.47,0.47,0.93
"No",0.47,1.87,4.21,0
"Yes, all",0,4.21,7.48,0.93
"Yes, some",0,8.88,15.89,0.47
