"","Not at all","Somewhat","To a great extent","Very little"
"",2.8,17.76,20.56,6.54
"Always",0,0.93,0,0
"Most of the time",0,0.47,1.4,0
"Never",0,6.54,14.95,0.47
"Rarely",0.47,6.54,8.88,0.47
"Some of the time",0,2.34,8.41,0.47
