"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,1.4,2.34,0
"Frequently",0.47,7.94,18.22,1.4
"Never",0,0.93,1.87,0
"Occasionally",0.93,18.69,21.03,3.74
"Rarely",1.4,5.61,10.75,2.8
