"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,5.17,0
"Not important",28.57,9.46,4.31,0
"Somewhat important",42.86,35.14,31.9,52.94
"Somewhat not important",0,10.81,8.62,23.53
"Very important",14.29,41.89,50,23.53
