"","Not at all","Somewhat","To a great extent","Very little"
"Not at all",2.8,17.76,20.56,6.54
"Somewhat",0,5.61,14.02,0.47
"To a great extent",0,0.93,5.61,0
"Very little",0.47,10.28,14.02,0.93
