"","Not at all","Somewhat","To a great extent","Very little"
"",1.4,0.47,0.93,0.93
"Always",0.47,3.27,9.35,0.47
"Most of the time",0.47,6.07,16.82,0.93
"Never",0,2.8,1.4,1.4
"Rarely",0.47,9.35,9.81,1.87
"Some of the time",0.47,12.62,15.89,2.34
