"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,1.4,2.8,0
"Not important",0.93,2.8,2.8,0.93
"Somewhat important",0.47,13.08,19.63,2.34
"Somewhat not important",0.47,4.67,7.48,1.4
"Very important",0.93,12.62,21.5,3.27
