"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,4.31,0
"Not important",28.57,10.81,6.9,0
"Somewhat important",14.29,40.54,28.45,23.53
"Somewhat not important",14.29,18.92,20.69,47.06
"Very important",28.57,27.03,39.66,29.41
