"","Not at all","Somewhat","To a great extent","Very little"
"",0.93,1.4,1.87,0
"Frequently",0.47,3.27,3.74,0
"Never",0.47,3.27,4.67,1.87
"Occasionally",0,8.41,11.68,1.4
"Rarely",1.4,18.22,32.24,4.67
