"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,5.17,0
"Not important",14.29,10.81,4.31,0
"Somewhat important",14.29,41.89,36.21,35.29
"Somewhat not important",14.29,13.51,5.17,29.41
"Very important",42.86,31.08,49.14,35.29
