"","Not at all","Somewhat","To a great extent","Very little"
"",0.93,0.93,1.87,0.47
"1 person",0,3.74,3.27,0.93
"11 - 15 people",0.47,2.34,4.67,0.93
"16+ people",0,2.8,8.88,0.47
"2 - 5 people",1.4,15.42,19.16,2.34
"6 - 10 people",0.47,9.35,16.36,2.8
