"","Not at all","Somewhat","To a great extent","Very little"
"",0.93,2.34,3.27,0.47
"Frequently",0.93,7.01,14.95,2.34
"Never",0,1.4,2.8,0
"Occasionally",0.93,14.02,22.9,2.34
"Rarely",0.47,9.81,10.28,2.8
