"","Not at all","Somewhat","To a great extent","Very little"
"",0,0,0.86,5.88
"Geographic methods, GIS, spatial statistics",14.29,22.97,26.72,29.41
"Human geography",42.86,22.97,20.69,41.18
"Nature and society",14.29,10.81,6.9,5.88
"Other (specify)",0,14.86,12.93,5.88
"Physical geography, earth and environmental sciences",28.57,28.38,31.9,11.76
