"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,1.87,2.8,0
"Frequently",0.47,11.21,22.43,2.8
"Never",0.93,0.93,1.87,0.93
"Occasionally",0.47,13.55,18.69,2.8
"Rarely",0.93,7.01,8.41,1.4
