"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,1.4,2.8,0.47
"Frequently",0.93,8.41,23.83,2.34
"Never",0,0.47,0.93,1.4
"Occasionally",0.93,15.89,16.82,2.34
"Rarely",0.93,8.41,9.81,1.4
