"","Not at all","Somewhat","To a great extent","Very little"
"",2.8,19.16,26.64,5.61
"Did not attempt",0,2.8,8.88,1.4
"No",0.47,3.74,4.21,0.47
"Yes, all",0,3.74,7.94,0.47
"Yes, some",0,5.14,6.54,0
