"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,4.05,6.03,0
"Not important",42.86,4.05,4.31,5.88
"Somewhat important",28.57,43.24,41.38,35.29
"Somewhat not important",0,13.51,10.34,17.65
"Very important",14.29,35.14,37.93,41.18
