"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,1.4,2.34,0.47
"Frequently",0.93,6.07,22.9,2.34
"Never",0.47,0.93,1.87,0.47
"Occasionally",0.47,16.36,17.29,3.27
"Rarely",0.93,9.81,9.81,1.4
