"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,4.05,4.31,0
"Frequently",14.29,28.38,46.55,41.18
"Never",14.29,2.7,5.17,5.88
"Occasionally",42.86,47.3,31.9,35.29
"Rarely",14.29,17.57,12.07,17.65
