"","Not at all","Somewhat","To a great extent","Very little"
"",85.71,55.41,48.28,70.59
"Did not attempt",0,4.05,8.62,17.65
"No",14.29,9.46,12.07,5.88
"Yes, all",0,8.11,7.76,0
"Yes, some",0,22.97,23.28,5.88
