"","Not at all","Somewhat","To a great extent","Very little"
"",0,0,0,0.47
"Not at all",1.4,0.47,0.93,0.93
"Somewhat",1.4,17.29,15.89,2.8
"To a great extent",0.47,10.28,35.05,2.34
"Very little",0,6.54,2.34,1.4
