"","Not at all","Somewhat","To a great extent","Very little"
"Not at all",14.29,0,0,17.65
"Somewhat",28.57,45.95,30.17,41.18
"To a great extent",28.57,36.49,64.66,23.53
"Very little",28.57,17.57,5.17,17.65
