"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,0.93,2.34,0
"Not important",0.93,3.27,3.27,0
"Somewhat important",0.93,14.49,20.09,0.47
"Somewhat not important",0.47,6.54,7.48,4.21
"Very important",0.47,9.35,21.03,3.27
