"","Not at all","Somewhat","To a great extent","Very little"
"",0,3.74,2.8,0.47
"Agree",0.47,18.22,27.1,5.61
"Disagree",0.47,6.07,6.54,1.4
"Strongly agree",1.4,5.61,16.82,0.47
"Strongly disagree",0.93,0.93,0.93,0
