"","Not at all","Somewhat","To a great extent","Very little"
"",0.47,0.47,0.93,1.4
"Always",0,1.4,4.21,0.93
"Most of the time",0,4.21,9.81,0
"Never",1.87,14.02,14.95,3.74
"Rarely",0.47,7.48,8.88,1.4
"Some of the time",0.47,7.01,15.42,0.47
