"","Not at all","Somewhat","To a great extent","Very little"
"",0.93,4.67,7.48,0.47
"Agree",0.47,8.88,7.48,2.34
"Disagree",0.47,13.08,18.69,3.74
"Strongly agree",0.93,1.4,5.61,0.93
"Strongly disagree",0.47,6.54,14.95,0.47
